City,Date,aggVODKA,aggRUM,aggBRANDIES,aggSCHNAPPS,aggWHISKIES,aggTEQUILA,aggSCOTCH,aggOTHER,aggLIQUEURS,numRecords,Volume Sold (Liters),Bottles Sold,Sale (Dollars)
Ackley,01/12/2018,6,2,0,1,9,0,0,0,2,20,133.7,118,1459.7299999999998
Ackley,01/19/2018,3,1,0,1,5,0,0,0,0,10,105.5,98,1404.24
Ackley,01/26/2018,2,2,0,1,2,0,0,1,0,8,78.5,62,847.3199999999999
Ackley,02/02/2018,9,4,0,0,14,0,0,0,2,29,188.87,224,2089.67
Ackley,02/09/2018,4,1,0,2,3,0,0,0,0,10,106.5,90,1242.96
Ackley,02/16/2018,6,4,0,1,10,0,0,0,2,23,213.54000000000002,213,2284.52
Ackley,03/02/2018,2,2,0,1,5,0,0,0,0,10,86.25,78,1315.5000000000002
Ackley,03/09/2018,4,3,0,1,11,1,0,1,2,23,155.2,168,1702.1200000000003
Ackley,03/16/2018,8,0,0,0,6,0,0,2,0,16,157.5,154,1825.7399999999998
Ackley,03/30/2018,9,6,0,0,12,1,0,0,1,29,222.09,222,2554.32
Ackley,04/06/2018,3,0,0,0,5,0,0,0,0,8,85.5,78,1051.5600000000002
Ackley,04/13/2018,7,4,0,0,13,1,0,0,0,25,192.22,193,2525.1299999999997
Ackley,04/27/2018,4,3,0,2,13,0,0,0,1,23,125.26,152,1357.58
Ackley,05/04/2018,6,3,0,1,5,0,0,0,1,16,155.0,144,1751.08
Ackley,05/11/2018,6,6,0,0,8,2,0,1,2,25,192.24,166,2151.4299999999994
Ackley,05/18/2018,5,4,1,1,3,0,0,0,1,15,134.5,138,1646.4800000000005
Ackley,05/25/2018,7,6,0,1,15,2,0,0,1,32,226.08,215,2552.85
Ackley,12/22/2017,8,3,0,0,6,0,0,3,1,21,187.25,171,2142.0
Ackley,12/29/2017,8,7,0,0,13,1,0,3,2,34,307.25,294,3924.56
Adair,01/15/2018,9,2,0,0,7,0,0,0,1,19,153.75,228,2737.56
Adair,01/22/2018,5,1,1,2,9,1,0,0,1,20,86.7,108,1181.5600000000002
Adair,02/05/2018,4,2,1,1,7,0,0,0,0,15,106.35,121,1617.83
Adair,03/12/2018,19,7,0,0,18,1,0,1,2,48,272.59999999999997,375,4628.39
Adair,04/09/2018,6,2,1,0,11,1,0,2,2,25,163.05,214,2191.7400000000002
Adair,05/14/2018,11,4,1,1,16,1,0,1,1,36,194.95,337,3191.7
Adair,05/25/2018,4,1,0,1,4,0,0,0,0,10,90.75,105,1239.66
Adair,12/22/2017,2,4,0,2,9,1,0,0,0,18,84.15,109,1267.1699999999998
Adel,01/02/2018,12,4,3,1,16,0,0,3,1,40,301.16,351,4471.999999999999
Adel,01/09/2018,27,9,1,3,26,3,0,6,3,78,761.46,915,9102.270000000002
Adel,01/16/2018,13,10,1,1,18,2,0,6,2,53,386.26,483,5736.27
Adel,01/23/2018,10,3,0,1,12,2,0,2,0,30,208.1,200,2506.59
Adel,01/30/2018,14,8,0,1,15,3,0,2,0,43,278.85,327,3179.7399999999993
Adel,02/06/2018,26,9,2,0,24,3,0,5,4,73,679.31,635,8927.960000000006
Adel,02/13/2018,22,9,0,1,31,1,0,2,2,68,586.35,559,9861.98
Adel,02/27/2018,22,4,3,3,29,2,0,13,2,78,898.5,754,8281.45
Adel,03/06/2018,25,10,2,3,34,5,0,7,6,92,834.26,933,11822.059999999996
Adel,03/13/2018,8,2,0,2,10,1,0,1,1,25,97.88999999999999,143,1327.64
Adel,03/20/2018,16,13,3,1,32,0,0,4,7,76,560.47,612,7343.51
Adel,03/27/2018,14,8,3,2,29,2,0,10,2,70,525.95,516,6592.97
Adel,04/03/2018,15,9,0,2,13,2,0,18,1,60,1896.75,1354,21550.800000000003
Adel,04/10/2018,19,9,1,1,25,0,1,5,1,62,631.89,606,8753.649999999998
Adel,04/17/2018,16,8,0,2,23,1,0,0,3,53,451.06,462,5390.69
Adel,04/24/2018,17,6,0,2,30,2,0,3,2,62,442.62,532,7639.12
Adel,05/01/2018,23,2,0,2,28,4,0,1,1,61,483.37000000000006,687,6758.320000000001
Adel,05/08/2018,12,7,0,2,31,4,0,9,8,73,829.35,795,9682.279999999999
Adel,05/15/2018,24,10,2,3,21,3,0,3,2,68,620.0500000000001,606,8341.15
Adel,05/16/2018,1,0,0,0,0,0,0,1,0,2,14.25,11,136.32
Adel,05/18/2018,0,0,0,0,1,0,0,0,0,1,0.75,1,10.13
Adel,05/22/2018,7,1,0,0,7,1,0,5,1,22,232.0,181,2029.1999999999996
Adel,05/29/2018,16,5,1,2,25,2,1,3,1,56,707.58,614,8510.430000000002
Adel,12/26/2017,7,3,3,2,19,0,0,8,5,47,882.8,700,13258.780000000004
Adel,12/29/2017,10,5,1,1,22,3,0,0,1,43,174.45,249,2744.3500000000004
Afton,01/12/2018,2,2,1,1,2,0,0,2,0,10,99.6,145,1133.5800000000002
Afton,01/26/2018,1,1,0,0,6,0,0,1,1,10,102.0,97,1399.44
Afton,02/09/2018,5,0,1,0,4,0,0,1,0,11,109.5,127,1027.32
Afton,02/16/2018,1,2,0,0,3,1,0,0,0,7,84.0,86,1082.52
Afton,03/02/2018,2,0,0,1,7,0,0,0,0,10,100.5,103,1521.7399999999998
Afton,03/09/2018,1,1,1,0,4,0,0,0,1,8,69.0,85,1228.4399999999998
Afton,03/23/2018,2,1,1,0,3,0,0,1,0,8,96.0,74,1026.12
Afton,03/30/2018,3,0,0,0,5,0,0,2,0,10,106.5,80,1077.8400000000001
Afton,04/20/2018,3,1,1,0,5,0,0,0,0,10,100.5,104,1166.04
Afton,05/04/2018,3,2,0,0,3,1,0,2,0,11,126.0,132,1459.0799999999997
Afton,05/18/2018,3,0,1,0,5,0,0,1,0,10,111.6,145,1416.74
Afton,05/25/2018,2,1,1,0,4,1,0,2,0,11,97.5,110,1304.4
Afton,12/22/2017,1,1,1,0,5,0,0,0,1,9,99.0,87,1389.54
Afton,12/29/2017,2,0,0,0,5,0,0,0,0,7,60.0,73,962.8800000000001
Akron,01/09/2018,5,4,0,1,8,0,0,0,0,18,200.99,192,2320.9800000000005
Akron,01/30/2018,4,5,0,0,8,0,0,0,3,20,153.95999999999998,159,1978.0200000000002
Akron,03/06/2018,8,6,1,2,8,1,0,0,4,30,169.71,195,2080.8900000000003
Akron,03/13/2018,8,6,1,1,10,1,0,0,0,27,143.09000000000003,174,1804.74
Akron,03/27/2018,1,6,0,0,11,0,0,0,1,19,85.11000000000001,96,1258.53
Akron,04/10/2018,6,4,0,0,7,0,0,0,1,18,125.61000000000001,126,1615.11
Akron,04/24/2018,5,4,0,0,5,0,0,0,3,17,114.37,114,1503.18
Akron,05/15/2018,10,6,0,0,10,0,0,0,2,28,162.75,192,2348.0099999999998
Akron,05/22/2018,5,5,1,1,9,0,0,0,0,21,120.96000000000001,138,1536.4499999999998
Akron,12/26/2017,7,5,1,2,9,0,0,0,1,25,156.07999999999998,168,1945.6799999999998
Albert City,01/16/2018,2,1,0,0,5,1,0,0,0,9,81.0,104,1157.58
Albert City,02/20/2018,3,1,0,0,2,0,0,0,1,7,100.8,240,1008.1200000000001
Albert City,03/20/2018,2,0,0,0,4,0,0,0,0,6,76.2,229,1136.6399999999999
Albert City,05/15/2018,4,2,0,0,5,0,0,0,0,11,144.3,366,1697.9399999999998
Albia,01/03/2018,15,13,4,2,25,2,0,2,2,65,550.95,614,8421.490000000002
Albia,01/10/2018,1,0,2,1,7,0,1,0,1,13,98.25,83,1123.3600000000001
Albia,01/17/2018,16,8,2,5,34,3,0,4,4,76,648.45,703,8876.779999999997
Albia,01/24/2018,8,6,0,3,11,1,0,2,3,34,717.75,627,8364.759999999998
Albia,01/29/2018,1,0,0,0,0,0,0,0,0,1,0.38,1,7.13
Albia,01/31/2018,10,8,2,2,18,3,0,3,6,52,744.75,801,12690.239999999998
Albia,02/07/2018,5,2,0,0,6,0,0,2,2,17,165.5,158,2324.22
Albia,02/14/2018,14,7,3,1,16,2,0,2,3,48,327.59999999999997,407,4568.53
Albia,02/21/2018,9,6,1,4,11,2,0,1,3,37,254.5,264,3993.83
Albia,02/28/2018,12,7,3,2,19,2,0,3,2,50,405.5,477,6473.990000000002
Albia,03/07/2018,14,9,3,1,16,4,0,3,5,55,508.55,526,7714.620000000001
Albia,03/14/2018,16,8,1,1,27,1,0,4,1,59,512.55,556,7873.2400000000025
Albia,03/21/2018,10,5,1,1,14,2,0,2,4,39,312.5,336,4539.2199999999975
Albia,03/28/2018,16,6,4,2,17,3,1,3,3,55,299.3,364,4699.28
Albia,04/04/2018,11,12,2,3,15,2,0,8,5,58,572.25,564,8528.02
Albia,04/11/2018,6,2,1,2,17,5,0,3,3,39,286.75,329,4045.01
Albia,04/18/2018,14,9,1,3,16,3,0,1,4,51,406.25,423,6342.470000000001
Albia,04/25/2018,11,5,0,2,20,1,0,5,3,47,428.85,466,6157.27
Albia,05/02/2018,13,4,3,2,14,1,0,8,7,52,461.0,482,5768.620000000001
Albia,05/09/2018,11,6,1,1,18,2,0,3,2,44,348.86,372,5303.3200000000015
Albia,05/16/2018,8,7,0,1,19,2,0,1,2,40,344.0,402,6497.81
Albia,05/23/2018,18,8,1,3,18,2,0,3,3,56,2801.0,1995,28772.36
Albia,05/30/2018,6,5,0,1,6,0,0,3,1,22,217.5,206,2975.88
Albia,12/27/2017,7,6,3,4,11,0,1,1,4,37,332.75,362,5705.860000000001
Albion,01/19/2018,2,0,0,0,3,0,0,0,1,6,97.5,102,1224.36
Albion,03/02/2018,1,2,0,1,7,0,0,0,2,13,76.5,112,1368.69
Albion,03/23/2018,3,1,0,0,4,0,0,0,0,8,115.5,114,1310.7
Albion,04/27/2018,7,3,1,0,6,0,0,0,0,17,145.5,248,2298.72
Albion,05/25/2018,4,0,0,0,3,0,0,0,1,8,122.1,150,1195.1399999999999
Albion,12/29/2017,2,0,0,0,4,0,0,0,0,6,88.5,78,1017.1199999999999
Alburnett,01/31/2018,5,0,1,3,6,0,0,0,1,16,92.54999999999998,154,1012.4300000000001
Alburnett,03/07/2018,3,2,4,3,2,0,0,1,3,18,107.44999999999999,196,1013.3
Alburnett,03/14/2018,2,1,1,3,3,0,0,7,4,21,73.28999999999999,112,1027.26
Alburnett,04/04/2018,2,0,1,3,8,0,0,3,0,17,82.65,145,1042.03
Alburnett,05/16/2018,4,1,0,3,8,0,0,6,2,24,92.93,181,1206.1500000000003
