GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US19,19,Iowa,0400000US19,19,Iowa,Iowa,3046355,1336417,56272.81,415.68,55857.13,54.5,23.9
0400000US19,19,Iowa,1600000US1900190,1900190,Iowa - PLACE - Ackley city,Ackley city,1589,789,2.48,0.03,2.45,648.6,322.0
0400000US19,19,Iowa,1550000US1900190069,1900190069,Iowa - PLACE - Ackley city - Franklin County (part),Franklin County (part),40,21,0.85,0.03,0.82,48.9,25.7
0400000US19,19,Iowa,1550000US1900190083,1900190083,Iowa - PLACE - Ackley city - Hardin County (part),Hardin County (part),1549,768,1.63,0.00,1.63,949.1,470.6
0400000US19,19,Iowa,1600000US1900235,1900235,"Iowa - PLACE - Ackworth city, Warren County","Ackworth city, Warren County",83,38,0.29,0.00,0.29,284.2,130.1
0400000US19,19,Iowa,1600000US1900370,1900370,Iowa - PLACE - Adair city,Adair city,781,403,2.21,0.02,2.20,355.4,183.4
0400000US19,19,Iowa,1550000US1900370001,1900370001,Iowa - PLACE - Adair city - Adair County (part),Adair County (part),762,394,1.47,0.02,1.46,522.6,270.2
0400000US19,19,Iowa,1550000US1900370077,1900370077,Iowa - PLACE - Adair city - Guthrie County (part),Guthrie County (part),19,9,0.74,0.00,0.74,25.7,12.2
0400000US19,19,Iowa,1600000US1900505,1900505,"Iowa - PLACE - Adel city, Dallas County","Adel city, Dallas County",3682,1579,3.28,0.01,3.27,1124.5,482.2
0400000US19,19,Iowa,1600000US1900595,1900595,"Iowa - PLACE - Afton city, Union County","Afton city, Union County",845,400,0.99,0.00,0.99,856.5,405.4
0400000US19,19,Iowa,1600000US1900640,1900640,"Iowa - PLACE - Agency city, Wapello County","Agency city, Wapello County",638,306,0.65,0.00,0.65,981.7,470.9
0400000US19,19,Iowa,1600000US1900730,1900730,"Iowa - PLACE - Ainsworth city, Washington County","Ainsworth city, Washington County",567,218,0.38,0.00,0.38,1510.6,580.8
0400000US19,19,Iowa,1600000US1900775,1900775,"Iowa - PLACE - Akron city, Plymouth County","Akron city, Plymouth County",1486,702,1.22,0.00,1.22,1220.5,576.6
0400000US19,19,Iowa,1600000US1900865,1900865,"Iowa - PLACE - Albert City city, Buena Vista County","Albert City city, Buena Vista County",699,336,0.54,0.00,0.54,1290.9,620.5
0400000US19,19,Iowa,1600000US1900910,1900910,"Iowa - PLACE - Albia city, Monroe County","Albia city, Monroe County",3766,1763,3.19,0.00,3.19,1182.0,553.3
0400000US19,19,Iowa,1600000US1900955,1900955,"Iowa - PLACE - Albion city, Marshall County","Albion city, Marshall County",505,220,0.60,0.00,0.60,848.5,369.7
0400000US19,19,Iowa,1600000US1901000,1901000,"Iowa - PLACE - Alburnett city, Linn County","Alburnett city, Linn County",673,252,0.82,0.00,0.82,822.5,308.0
0400000US19,19,Iowa,1600000US1901045,1901045,"Iowa - PLACE - Alden city, Hardin County","Alden city, Hardin County",787,368,1.72,0.02,1.71,460.7,215.4
0400000US19,19,Iowa,1600000US1901090,1901090,"Iowa - PLACE - Alexander city, Franklin County","Alexander city, Franklin County",175,86,4.27,0.00,4.27,41.0,20.1
0400000US19,19,Iowa,1600000US1901135,1901135,"Iowa - PLACE - Algona city, Kossuth County","Algona city, Kossuth County",5560,2711,4.51,0.02,4.49,1238.7,604.0
0400000US19,19,Iowa,1600000US1901180,1901180,"Iowa - PLACE - Alleman city, Polk County","Alleman city, Polk County",432,152,2.70,0.00,2.70,159.9,56.3
0400000US19,19,Iowa,1600000US1901270,1901270,"Iowa - PLACE - Allerton city, Wayne County","Allerton city, Wayne County",501,250,1.14,0.00,1.14,440.1,219.6
0400000US19,19,Iowa,1600000US1901315,1901315,"Iowa - PLACE - Allison city, Butler County","Allison city, Butler County",1029,470,2.93,0.00,2.93,351.0,160.3
0400000US19,19,Iowa,1600000US1901495,1901495,"Iowa - PLACE - Alta city, Buena Vista County","Alta city, Buena Vista County",1883,838,1.07,0.00,1.07,1754.4,780.8
0400000US19,19,Iowa,1600000US1901540,1901540,"Iowa - PLACE - Alta Vista city, Chickasaw County","Alta Vista city, Chickasaw County",266,132,0.76,0.00,0.76,352.0,174.7
0400000US19,19,Iowa,1600000US1901585,1901585,"Iowa - PLACE - Alton city, Sioux County","Alton city, Sioux County",1216,493,1.85,0.00,1.85,658.7,267.1
0400000US19,19,Iowa,1600000US1901630,1901630,"Iowa - PLACE - Altoona city, Polk County","Altoona city, Polk County",14541,5702,9.35,0.00,9.35,1554.8,609.7
0400000US19,19,Iowa,1600000US1901675,1901675,"Iowa - PLACE - Alvord city, Lyon County","Alvord city, Lyon County",196,85,0.28,0.00,0.28,712.2,308.9
0400000US19,19,Iowa,1600000US1901720,1901720,"Iowa - PLACE - Amana CDP, Iowa County","Amana CDP, Iowa County",442,209,1.13,0.00,1.13,392.4,185.6
